date,round,white_id,black_id,white_elo,black_elo,white_title,black_title,result
2019-09-11,1.2,4168119,4902980,2776.0,2407.0,GM,,1-0
2019-09-11,1.2,10600140,13300474,2431.0,2758.0,GM,GM,0-1
2019-09-11,1.2,13401319,13100050,2767.0,2428.0,GM,IM,1-0
2019-09-11,1.2,4400801,3503240,2504.0,2763.0,GM,GM,0-1
2019-09-11,1.2,4126025,12809390,2759.0,2503.0,GM,IM,1-0
2019-09-11,1.2,7200595,13400924,2533.0,2758.0,GM,GM,1/2-1/2
2019-09-11,1.2,24101605,24105074,2746.0,2540.0,GM,GM,1-0
2019-09-11,1.2,12500739,8603820,2544.0,2763.0,GM,GM,1-0
2019-09-11,1.2,14109603,7101384,2760.0,2550.0,GM,GM,1/2-1/2
2019-09-11,1.2,696358,2016192,2540.0,2745.0,GM,GM,1/2-1/2
2019-09-11,1.2,4158814,2107660,2741.0,2558.0,GM,GM,1/2-1/2
2019-09-11,1.2,1512668,1118358,2558.0,2739.0,GM,GM,1-0
2019-09-11,1.2,5007003,3503321,2746.0,2552.0,GM,GM,1-0
2019-09-11,1.2,3409350,1170546,2587.0,2730.0,GM,GM,1/2-1/2
2019-09-11,1.2,4102142,3518736,2729.0,2581.0,GM,GM,1-0
2019-09-11,1.2,1506102,4152956,2550.0,2732.0,GM,GM,0-1
2019-09-11,1.2,8603405,22291482,2721.0,2560.0,GM,GM,1-0
2019-09-11,1.2,13500139,12401137,2577.0,2708.0,GM,GM,1/2-1/2
2019-09-11,1.2,309095,24131423,2724.0,2577.0,GM,GM,0-1
2019-09-11,1.2,8608288,8601445,2576.0,2721.0,GM,GM,1/2-1/2
2019-09-11,1.2,8602883,4127870,2726.0,2599.0,GM,GM,1/2-1/2
2019-09-11,1.2,13402129,2004887,2593.0,2705.0,GM,GM,1/2-1/2
2019-09-11,1.2,4168003,14204118,2716.0,2608.0,GM,GM,1/2-1/2
2019-09-11,1.2,4101286,4147235,2586.0,2718.0,GM,GM,1/2-1/2
2019-09-11,1.2,5029465,110973,2718.0,2600.0,GM,GM,1-0
2019-09-11,1.2,3805662,4122356,2596.0,2681.0,GM,GM,0-1
2019-09-11,1.2,2047640,4150120,2707.0,2596.0,GM,GM,1-0
2019-09-11,1.2,13301578,12573981,2599.0,2702.0,GM,GM,1/2-1/2
2019-09-11,1.2,24126055,3801497,2699.0,2576.0,GM,GM,1/2-1/2
2019-09-11,1.2,12521213,10601457,2642.0,2699.0,GM,GM,1/2-1/2
2019-09-11,1.2,409561,108049,2688.0,2602.0,GM,GM,1/2-1/2
2019-09-11,1.2,4173708,1710400,2606.0,2691.0,GM,GM,1-0
2019-09-11,1.2,400041,5072786,2694.0,2609.0,GM,GM,1/2-1/2
2019-09-11,1.2,8603332,2805677,2602.0,2686.0,GM,GM,1/2-1/2
2019-09-11,1.2,3802272,25092340,2676.0,2610.0,GM,GM,0-1
2019-09-11,1.2,1112635,2806851,2621.0,2684.0,GM,GM,1/2-1/2
2019-09-11,1.2,4162722,5074452,2693.0,2617.0,GM,GM,1-0
2019-09-11,1.2,3503631,404853,2615.0,2682.0,GM,GM,1/2-1/2
2019-09-11,1.2,14105730,5010608,2679.0,2609.0,GM,GM,1/2-1/2
2019-09-11,1.2,5058422,2285525,2611.0,2674.0,GM,GM,1-0
2019-09-11,1.2,4650891,24604747,2643.0,2620.0,GM,GM,0-1
2019-09-11,1.2,24175439,14103320,2624.0,2675.0,GM,GM,1/2-1/2
2019-09-11,1.2,2809052,5021596,2658.0,2624.0,GM,GM,0-1
2019-09-11,1.2,5002150,24130737,2658.0,2664.0,GM,GM,1-0
2019-09-11,1.2,4135539,12401110,2671.0,2638.0,GM,GM,1-0
2019-09-11,1.2,13702661,718572,2630.0,2666.0,GM,GM,1-0
2019-09-11,1.2,1202758,1204297,2656.0,2629.0,GM,GM,1/2-1/2
2019-09-11,1.2,1510045,2040506,2630.0,2654.0,GM,GM,1/2-1/2
2019-09-11,1.2,5018471,3901211,2639.0,2626.0,GM,GM,1/2-1/2
2019-09-11,1.2,10601619,2905540,2636.0,2670.0,GM,GM,1/2-1/2
2019-09-11,1.2,4189302,112275,2662.0,2633.0,GM,GM,1/2-1/2
2019-09-11,1.2,1017063,14508150,2640.0,2667.0,GM,GM,1/2-1/2
2019-09-11,1.2,1130420,13402960,2660.0,2632.0,GM,GM,1/2-1/2
2019-09-11,1.2,4100140,14200244,2643.0,2657.0,GM,GM,1/2-1/2
2019-09-11,1.2,12539929,4108116,2664.0,2644.0,GM,GM,1-0
2019-09-11,1.2,24107581,24133795,2657.0,2651.0,GM,GM,1/2-1/2
2019-09-11,1.2,4160258,13302507,2655.0,2639.0,GM,GM,1/2-1/2
2019-09-11,1.2,1207822,14117908,2643.0,2674.0,GM,GM,1-0
2019-09-11,1.2,712779,4118987,2654.0,2635.0,GM,GM,0-1
2019-09-11,1.2,24125890,310204,2654.0,2654.0,GM,GM,0-1
2019-09-12,1.3,12500739,8603820,2544.0,2763.0,GM,GM,1/2-1/2
2019-09-12,1.3,696358,2016192,2540.0,2745.0,GM,GM,0-1
2019-09-12,1.3,4158814,2107660,2741.0,2558.0,GM,GM,1-0
2019-09-12,1.3,12401137,13500139,2708.0,2577.0,GM,GM,1-0
2019-09-12,1.3,8601445,8608288,2721.0,2576.0,GM,GM,1/2-1/2
2019-09-12,1.3,4127870,8602883,2599.0,2726.0,GM,GM,1/2-1/2
2019-09-12,1.3,2004887,13402129,2705.0,2593.0,GM,GM,1/2-1/2
2019-09-12,1.3,14204118,4168003,2608.0,2716.0,GM,GM,1/2-1/2
2019-09-12,1.3,4101286,4147235,2586.0,2718.0,GM,GM,1/2-1/2
2019-09-12,1.3,12521213,10601457,2642.0,2699.0,GM,GM,1-0
2019-09-12,1.3,400041,5072786,2694.0,2609.0,GM,GM,1/2-1/2
2019-09-12,1.3,2805677,8603332,2686.0,2602.0,GM,GM,1/2-1/2
2019-09-12,1.3,404853,3503631,2682.0,2615.0,GM,GM,1-0
2019-09-12,1.3,14105730,5010608,2679.0,2609.0,GM,GM,0-1
2019-09-12,1.3,5058422,2285525,2611.0,2674.0,GM,GM,1/2-1/2
2019-09-12,1.3,5021596,2809052,2624.0,2658.0,GM,GM,0-1
